# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.000000e+00
# Aref        : 7.591940e+03
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
260           	1.255331e+00	4.455282e-01	-4.722207e-01	1.019220e+00	-1.491441e+00
261           	1.271014e+00	4.456398e-01	-4.704487e-01	1.035790e+00	-1.506238e+00
262           	1.282974e+00	4.457572e-01	-4.687844e-01	1.048582e+00	-1.517367e+00
263           	1.291088e+00	4.458845e-01	-4.672241e-01	1.057476e+00	-1.524700e+00
264           	1.295382e+00	4.460246e-01	-4.657649e-01	1.062500e+00	-1.528265e+00
265           	1.296064e+00	4.461791e-01	-4.644039e-01	1.063862e+00	-1.528266e+00
266           	1.293549e+00	4.463453e-01	-4.631462e-01	1.061976e+00	-1.525122e+00
267           	1.288235e+00	4.465210e-01	-4.619803e-01	1.057245e+00	-1.519225e+00
268           	1.280681e+00	4.467094e-01	-4.608896e-01	1.050236e+00	-1.511126e+00
269           	1.271397e+00	4.469078e-01	-4.598656e-01	1.041465e+00	-1.501330e+00
270           	1.260778e+00	4.471129e-01	-4.589019e-01	1.031327e+00	-1.490229e+00
271           	1.249167e+00	4.473212e-01	-4.579936e-01	1.020170e+00	-1.478164e+00
272           	1.236864e+00	4.475296e-01	-4.571376e-01	1.008295e+00	-1.465433e+00
273           	1.224096e+00	4.477354e-01	-4.563309e-01	9.959307e-01	-1.452262e+00
274           	1.211019e+00	4.479369e-01	-4.555698e-01	9.832344e-01	-1.438804e+00
275           	1.197798e+00	4.481333e-01	-4.548502e-01	9.703727e-01	-1.425223e+00
276           	1.184568e+00	4.483247e-01	-4.541670e-01	9.574850e-01	-1.411652e+00
277           	1.171358e+00	4.485116e-01	-4.535135e-01	9.446014e-01	-1.398115e+00
278           	1.158134e+00	4.486949e-01	-4.528831e-01	9.316920e-01	-1.384575e+00
279           	1.144841e+00	4.488757e-01	-4.522706e-01	9.187060e-01	-1.370977e+00
280           	1.131412e+00	4.490559e-01	-4.516720e-01	9.055765e-01	-1.357248e+00
281           	1.117791e+00	4.492363e-01	-4.510848e-01	8.922489e-01	-1.343334e+00
282           	1.103951e+00	4.494245e-01	-4.505013e-01	8.787001e-01	-1.329201e+00
283           	1.089971e+00	4.496136e-01	-4.499308e-01	8.650052e-01	-1.314936e+00
284           	1.075942e+00	4.498016e-01	-4.493749e-01	8.512541e-01	-1.300629e+00
285           	1.061821e+00	4.499953e-01	-4.488295e-01	8.374061e-01	-1.286236e+00
286           	1.047480e+00	4.501797e-01	-4.483002e-01	8.233298e-01	-1.271630e+00
287           	1.032708e+00	4.503505e-01	-4.477853e-01	8.088148e-01	-1.256600e+00
